Name,Price,Units,Sales,Year,Category,Category_2
Sailor Jerry,3.5,1107,3745,2019,WI,Spirits
Saint  Archer,4,331,1320,2020,WI,Spirits
Sangria Glass,5,37,185,2021,CH,Spirits
Sangria Pitcher,20,6,120,2021,CH,Spirits
Sauvignon Blanc,36,3,36,2022,CH,Wine
Sauvignon Blanc,32,5,80,2020,CH,Wine
Sauvignon Blanc,32,17,304,2019,CH,Wine
Sauvignon Blanc,8.5,56,450.5,2022,CH,Spirits
Sauvignon Blanc,8.5,161,1216,2020,CH,Spirits
Sauvignon Blanc,8,176,1384,2019,CH,Spirits
Sauvignon Blanc,36,3,54,2021,WI,Wine
Sauvignon Blanc,32,3,48,2021,WI,Wine
Sauvignon Blanc,36,3,90,2021,WI,Wine
Sauvignon Blanc,8.5,104,858.5,2021,WI,Wine
Sauvignon Blanc,8.5,187,1564,2021,WI,Wine
Scofflaw Peachtree Seltzer,4.75,17,76,2021,BD,Beer
Scotch Negroni,8.25,6,49.5,2021,LV,Spirits
Scotch Negroni,8.25,27,206.25,2022,LV,Spirits
Seattle Cider,7.5,235,1755,2020,LV,Beer
Seattle Cider,7.5,384,2868.75,2019,LV,Beer
Seattle Cider Basil Mint,7.5,169,1267.5,2021,BI,Beer
SH Coffee,5,41,205,2021,SH,Spirits
Shipyard Export,5,2,10,2019,SH,Spirits
Sierra Nevada Oktoberfe,5.5,57,302.5,2021,BI,Beer
Sierra Nevada Oktoberfe,4.5,14,63,2021,BI,Beer
Sierra Nevada Pale,5.5,164,852.5,2019,BI,Beer
Sierra Nevada Pale,5.5,239,1298,2021,BI,Beer
Sierra Nevada Pale,5.5,121,654.5,2020,BI,Beer
Sierra Nevada Pale,5,45,220,2021,BI,Beer
Sierra Nevada Pale,5,25,122.5,2020,BI,Beer
Sierra Nevada Pale,5,108,558.5,2022,BI,Beer
Sierra Nevada Pale,5,26,127.5,2022,BI,Beer
Sipsmith,7,26,182,2020,BI,Beer
Six & Twenty Carolina Cream,5,33,165,2021,LS,Spirits
Six & Twenty Carolina Cream,5,4,20,2022,LS,Spirits
Six & Twenty Carolina Cream,5,42,210,2020,LS,Spirits
Six & Twenty Carolina Cream,5,46,225,2019,LS,Spirits
Six & Twenty Old Money Whiskey,9,10,90,2022,LS,Spirits
Six & Twenty Old Money Whiskey,9,64,531,2020,LS,Spirits
Six & Twenty Old Money Whiskey,9,73,639,2019,LS,Spirits
Six & Twenty Old Money Whiskey,9,55,495,2021,LS,Spirits
Six & Twenty Rum,11,5,55,2022,LS,Spirits
Six & Twenty Rum,9,13,117,2021,LS,Spirits
Six & Twenty Vodka,9,5,45,2021,LS,Spirits
Six & Twenty Vodka,9,3,27,2022,LS,Spirits
Six & Twenty Vodka,9,13,117,2020,LS,Spirits
Sixpoint Resin DIPA,6.5,18,117,2021,SH,Beer
Slane Irish Whisky,6.5,46,299,2021,LB,Spirits
Slane Irish Whisky,6,22,132,2021,LB,Spirits
Slow & Low Rye,6.25,32,200,2021,LV,Spirits
Slow & Low Rye,6.25,9,70.25,2020,LV,Spirits
Smirnoff Bloody Mary,4.25,181,748.02,2019,LV,Spirits
Smithwicks Irish Red,4,206,820,2020,LV,Beer
Smithwicks Irish Red,4,265,1050,2019,LV,Beer
Smithwicks Irish Red,4,226,900,2021,SH,Beer
Smithwicks Irish Red,3,139,510,2022,LV,Beer
Smoking Lounge,8,133,1048,2021,MA,Spirits
Smoking Lounge,2,68,134,2021,MA,Spirits
Smoking Lounge,2,100,199.8,2020,MA,Spirits
Smoking Lounge,2,149,294,2019,MA,Spirits
Snake Bite,7,1,7,2020,MA,Spirits
Spitfire,7,2,14,2019,MA,Spirits
Squirrel PB,4.5,13,58.5,2020,MA,Spirits
Squirrel PB Whiskey,4.5,16,72,2021,LB,Spirits
SS Nut Brown,6.5,62,390,2020,LB,Spirits
SS Nut Brown,6.5,110,715,2019,LB,Spirits
St Patty Car Bomb,5,32,160,2021,LV,Spirits
St Patty Guiness,4,31,124,2021,LV,Beer
St.  Bernardus Wit,7.25,37,268.25,2020,LV,Spirits
St.  Bernardus Wit,7.25,125,906.25,2019,LV,Spirits
St. Germaine,7,1,7,2021,LV,Spirits
St. Germaine,7,3,21,2022,LV,Spirits
St. Germaine,7,3,21,2020,LV,Spirits
St. Germaine,7,3,21,2019,LV,Spirits
Sternum Kick,9.5,240,2280,2021,CH,Spirits
Sternum Kick,9.5,85,807.5,2020,CH,Spirits
Sternum Kick,9.5,64,608,2019,CH,Spirits
T.C.  Dopplebock,5,11,50,2021,BI,Beer
T.C.  Dopplebock,5,3,15,2022,BI,Beer
T.C.  Dopplebock,5,59,275,2020,BI,Beer
T.C.  Dopplebock,5,32,140,2019,BI,Beer
T.C. Cream Ale,5,52,250,2019,BI,Beer
T.C. Red,5,179,850,2019,BI,Beer
Talisker 10,10,7,70,2020,BI,Beer
Talisker 10,10,39,380,2019,BI,Beer
Tanq Lime Can,9,67,585,2022,BI,Beer
Tanqueray,6.25,167,1025,2021,LD,Spirits
Tanqueray,6.25,63,387.5,2022,LD,Spirits
Tanqueray,6.25,11,51.75,2020,LD,Spirits
Tanqueray Sevilla,5.5,4,22,2021,LD,Spirits
Tanqueray Sevilla,5.5,26,110,2022,LD,Spirits
Tecate,4,557,2148,2021,SH,Beer
Tecate,4,187,728,2022,SH,Beer
Tecate,4,311,1240,2020,SH,Beer
Tecate,4,246,960,2019,SH,Beer
The Dreamsicle,8.5,134,1139,2022,SH,Spirits
The Nightingale,8.5,80,680,2022,SH,Spirits
The Postage,7.5,45,339.5,2022,SH,Spirits
The Snapper,9,137,1215,2021,CH,Spirits
Tijuana Donkey,6,15,90,2019,CH,Spirits
Tin Cup,7.5,5,37.5,2019,CH,Spirits
Tito's,8.5,88,748,2021,CH,Spirits
Tito's,6,1387,8274,2021,LV,Spirits
Tito's,6,462,2772,2022,LV,Spirits
Tito's,6,813,4824,2020,LV,Spirits
Tito's,6,1453,8646,2019,LV,Spirits
Titos Mule,8.5,20,170,2022,LV,Spirits
Titos Mule,8.5,40,340,2020,LV,Spirits
Titos Mule,8.5,181,1538.5,2019,LV,Spirits
Tres Agaves,5,129,620,2019,LV,Spirits
Trooper,7.25,2,14.5,2020,LV,Spirits
Trooper,7.25,12,79.76,2019,LV,Spirits
Truly,5,315,1565,2020,LV,Spirits
Truly Berry,5,364,1790,2019,LV,Spirits
Truly Berry Variety,5,155,775,2021,SH,Spirits
Union Mezcal,6,14,60,2020,SH,Spirits
Union Mezcal,6,73,438,2019,SH,Spirits
Upcountry Sippin on Ginger Juice,5.25,267,1365,2020,SH,Beer
Upcountry Sippin on Ginger Juice,5.25,238,1228.5,2019,SH,Beer
Upcountry Sippin on Ginger Juice,5.25,35,157.5,2020,SH,Beer
Upcountry Sippin on Ginger Juice,5,30,150,2022,SH,Beer
Upcountry Sippin on Ginger Juice,5,14,70,2021,SH,Beer
Upcountry Strawb Milk IPA,5.25,1,5.25,2021,SH,Beer
Upcountry Strawb Milk IPA,5,31,100,2021,SH,Beer
Upcountry Strawb Milk IPA,5,4,20,2022,SH,Beer
Victory Sour Monkey,7,130,903,2022,SH,Beer
Victory Sour Monkey,7,311,2170,2020,SH,Beer
Victory Sour Monkey,7,363,2506,2019,SH,Beer
Victory Sour Monkey,7,546,3794,2021,SH,Beer
Violette Femme,7.5,40,292.5,2020,SH,Spirits
Violette Femme,7.5,171,1275,2019,SH,Spirits
Vizzy Pineapple Mango,5.75,21,120.75,2021,BI,Beer
Vizzy Pineapple Mango,5.75,116,649.78,2020,SH,Beer
Weihen Heffe,5,469,2335,2021,BI,Beer
Weihen Heffe,5,114,570,2022,BI,Beer
Weihen Heffe,5,560,2790,2020,BI,Beer
Weihen Heffe,5,540,2657.5,2019,BI,Beer
Weihen Original,5,221,1035,2021,BI,Beer
Weihen Original,5,48,235,2022,BI,Beer
Weihen Original,5,303,1500,2020,BI,Beer
Weihen Original,5,498,2452.5,2019,BI,Beer
Westbrook IPA,6,24,144,2021,BI,Beer
Westbrook IPA,6,227,1326,2020,BI,Beer
Westbrook IPA,6,305,1797,2019,BI,Beer
Westbrook Lassi,10.25,20,199.88,2019,BI,Beer
Westbrook Lemon Cucumber Gose,5.25,66,336,2021,BI,Beer
Westbrook OneClaw,6.5,27,175.5,2022,BI,Beer
Westbrook Orange Creamsicle Seltzer,7.75,18,139.5,2021,BI,Beer
Westbrook Santa Claw,10.25,17,169.13,2019,BI,Beer
Westbrook Two Claw,6.75,45,297,2019,BI,Beer
Westbrook White Thai,5.5,62,324.5,2021,BI,Beer
Whiskey mule,7,99,693,2021,CH,Spirits
Whiskey mule,7,28,196,2022,CH,Spirits
Whiskey mule,7,289,2023,2020,CH,Spirits
Whiskey mule,7,282,1974,2019,CH,Spirits
White Claw,17,43,731,2021,BI,Beer
White Claw,17,1,17,2022,BI,Beer
White Claw,17,92,1486,2020,BI,Beer
White Claw,5,736,3590,2021,BI,Beer
White Claw,5,207,1005,2022,BI,Beer
White Claw,5,402,1995,2020,BI,Beer
White Claw,5,353,1768.75,2019,BI,Beer
White Russian,3,107,321,2021,LD,Spirits
White Russian,3,45,135,2022,LD,Spirits
White Russian,3,48,144,2020,LD,Spirits
White Russian,3,102,303,2019,LD,Spirits
White Zombie,5,51,255,2021,BI,Beer
White Zombie,5,594,2945,2020,BI,Beer
White Zombie,5,722,3570,2019,BI,Beer
Wicked Weed Freak of Nature DIPA,5.75,72,408.25,2021,SI,Beer
Wicked Weed Freak of Nature DIPA,5.75,91,517.5,2022,SI,Beer
WINE 10.22 event,4,55,220,2021,WI,Wine
Woffler Dry Rose,9,142,1278,2021,BI,Beer
Woffler Dry Rose,9,57,513,2022,BI,Beer
Woffler Dry Rose,9,166,1476,2020,BI,Beer
Woffler Dry Rose,9,223,1980,2019,BI,Beer
Woodford Reserve,7.5,238,1710,2021,LB,Spirits
Woodford Reserve,7.5,73,495,2022,LB,Spirits
Woodford Reserve,7.5,155,1147.5,2020,LB,Spirits
Woodford Reserve,7.5,210,1488.75,2019,LB,Spirits
Woodinville,8.5,10,85,2021,LB,Spirits
Woodinville,8.5,5,34,2020,LB,Spirits
Young's Double Choc ,8,24,192,2022,BI,Beer
Young's Double Choc ,6.5,160,988,2021,BI,Beer
Young's Double Choc ,6.5,133,851.5,2020,BI,Beer
Young's Double Choc ,6.5,207,1339,2019,BI,Beer
Zephyr,7,2,14,2019,BI,Beer
